Convex table,Source,Current validator,Indexes,Search indexes,firmId field,Target PostgreSQL table,Legacy ID strategy,Decision,Status,Owner,Notes
appointments,convex/schema.ts:624,"{ firmId: v.optional(v.id(""firms"")), clientName: v.string(), clientEmail: v.optional(v.string()), clientPhone: v.string(), clientId: v.optional(v.id(""clients"")), practiceArea: v.string(), date: v.string(), timeSlot: v.string(), notes: v.optional(v.string()), status: v.union(v.literal(""pending""), v.literal(""confirmed""), v.literal(""completed""), v.literal(""cancelled"")), assignedLawyerId: v.optional(v.id(""users"")), meetingLink: v.optional(v.string()), }","""by_date"", [""date""] | ""by_status"", [""status""] | ""by_assigned_lawyer"", [""assignedLawyerId""]",,yes,appointments,new UUID primary key; preserve Convex ID in unique legacy_convex_id during migration,migrate,implemented,Data owner role,Target firm_id is NOT NULL
attendance,convex/schema.ts:566,"{ userId: v.id(""users""), date: v.string(), clockIn: v.optional(v.string()), clockOut: v.optional(v.string()), status: v.union( v.literal(""present""), v.literal(""absent""), v.literal(""half_day""), v.literal(""leave""), ), }","""by_user"", [""userId""] | ""by_date"", [""date""]",,no,attendance,new UUID primary key; preserve Convex ID in unique legacy_convex_id during migration,migrate,implemented,Data owner role,Target firm_id is NOT NULL
auditLog,convex/schema.ts:595,"{ firmId: v.optional(v.id(""firms"")), userId: v.id(""users""), action: v.string(), resource: v.string(), resourceId: v.optional(v.string()), details: v.optional(v.string()), ipAddress: v.optional(v.string()), }","""by_user"", [""userId""] | ""by_resource"", [""resource""] | ""by_firm"", [""firmId""]",,yes,audit_log,new UUID primary key; preserve Convex ID in unique legacy_convex_id during migration,migrate,implemented,Data owner role,Target firm_id is NOT NULL
blogPosts,convex/schema.ts:768,"{ title: v.string(), slug: v.string(), category: v.string(), excerpt: v.string(), content: v.string(), coverImageUrl: v.optional(v.string()), author: v.string(), status: v.union(v.literal(""draft""), v.literal(""published"")), publishDate: v.string(), // ISO string, empty if draft seoTitle: v.optional(v.string()), seoDescription: v.optional(v.string()), }","""by_status"", [""status""] | ""by_slug"", [""slug""]",,no,blog_posts,new UUID primary key; preserve Convex ID in unique legacy_convex_id during migration,migrate,implemented,Data owner role,Target firm_id is NOT NULL
careers,convex/schema.ts:725,"{ title: v.string(), department: v.string(), location: v.string(), type: v.union(v.literal(""full_time""), v.literal(""part_time""), v.literal(""contract""), v.literal(""internship"")), description: v.string(), requirements: v.array(v.string()), isActive: v.boolean(), postedDate: v.string(), }","""by_status"", [""isActive""]",,no,careers,new UUID primary key; preserve Convex ID in unique legacy_convex_id during migration,migrate,implemented,Data owner role,Target firm_id is NOT NULL; normalized children: career_requirements
cases,convex/schema.ts:131,"{ firmId: v.optional(v.id(""firms"")), caseNumber: v.string(), title: v.string(), description: v.optional(v.string()), practiceArea: v.string(), status: v.union( v.literal(""inquiry""), v.literal(""active""), v.literal(""on_hold""), v.literal(""closed_won""), v.literal(""closed_lost""), ), clientId: v.id(""clients""), assignedLawyerId: v.id(""users""), teamMemberIds: v.array(v.id(""users"")), court: v.optional(v.string()), judge: v.optional(v.string()), opposingCounsel: v.optional(v.string()), filingDate: v.optional(v.string()), closedDate: v.optional(v.string()), conflictChecked: v.boolean(), conflictClearedBy: v.optional(v.id(""users"")), }","""by_client"", [""clientId""] | ""by_lawyer"", [""assignedLawyerId""] | ""by_status"", [""status""] | ""by_case_number"", [""caseNumber""] | ""by_firm"", [""firmId""]",,yes,cases,new UUID primary key; preserve Convex ID in unique legacy_convex_id during migration,migrate,implemented,Data owner role,Target firm_id is NOT NULL; normalized children: case_team_members
clients,convex/schema.ts:84,"{ firmId: v.optional(v.id(""firms"")), userId: v.optional(v.id(""users"")), type: v.union(v.literal(""individual""), v.literal(""corporate"")), fullName: v.string(), email: v.optional(v.string()), phone: v.optional(v.string()), address: v.optional(v.string()), companyName: v.optional(v.string()), registrationNumber: v.optional(v.string()), kycStatus: v.union( v.literal(""pending""), v.literal(""submitted""), v.literal(""verified""), v.literal(""rejected""), ), /** @deprecated Prefer kycFiles — legacy storage-id-only list */ kycDocuments: v.optional(v.array(v.string())), kycFiles: v.optional( v.array( v.object({ storageId: v.string(), docType: v.union( v.literal(""government_id""), v.literal(""proof_of_address""), v.literal(""other""), ), fileName: v.string(), mimeType: v.optional(v.string()), }), ), ), kycIdNumber: v.optional(v.string()), kycConsentAt: v.optional(v.string()), kycConsentVersion: v.optional(v.string()), kycRejectionReason: v.optional(v.string()), kycSubmittedAt: v.optional(v.string()), kycReviewedAt: v.optional(v.string()), kycReviewedBy: v.optional(v.id(""users"")), notes: v.optional(v.string()), isActive: v.boolean(), }","""by_name"", [""fullName""] | ""by_user"", [""userId""] | ""by_firm"", [""firmId""] | ""by_kyc_status"", [""kycStatus""]",,yes,clients,new UUID primary key; preserve Convex ID in unique legacy_convex_id during migration,migrate,implemented,Data owner role,Target firm_id is NOT NULL; normalized children: client_kyc_files
cmsSettings,convex/schema.ts:710,"{ key: v.string(), value: v.any(), }","""by_key"", [""key""]",,no,cms_settings,new UUID primary key; preserve Convex ID in unique legacy_convex_id during migration,migrate,implemented,Data owner role,Target firm_id is NOT NULL
conflictChecks,convex/schema.ts:70,"{ searchQuery: v.string(), hitsCount: v.number(), status: v.union( v.literal(""pending""), v.literal(""cleared""), v.literal(""conflict"") ), runBy: v.optional(v.id(""users"")), // User ID of the person who ran it runByName: v.string(), // Snapshot of their name timestamp: v.string(), // ISO string notes: v.optional(v.string()), // E.g., ""Cleared because of X"" }","""by_status"", [""status""]",,no,conflict_checks,new UUID primary key; preserve Convex ID in unique legacy_convex_id during migration,migrate,implemented,Data owner role,Target firm_id is NOT NULL
documents,convex/schema.ts:206,"{ caseId: v.optional(v.id(""cases"")), firmId: v.optional(v.id(""firms"")), documentNumber: v.string(), // ""DOC-2025-0001"" title: v.string(), description: v.optional(v.string()), type: v.union( v.literal(""pleading""), v.literal(""affidavit""), v.literal(""contract""), v.literal(""poa""), v.literal(""correspondence""), v.literal(""evidence""), v.literal(""template""), v.literal(""court_filing""), v.literal(""notice""), v.literal(""memo""), v.literal(""other""), ), storageId: v.string(), mimeType: v.string(), sizeBytes: v.number(), sha256: v.optional(v.string()), version: v.number(), parentDocumentId: v.optional(v.id(""documents"")), tags: v.array(v.string()), uploadedBy: v.id(""users""), isTemplate: v.boolean(), isPrivileged: v.boolean(), // Search & Discovery searchableText: v.optional(v.string()), // OCR/extracted text thumbnailStorageId: v.optional(v.string()), // Preview thumbnail status: v.optional(v.union( v.literal(""draft""), v.literal(""review""), v.literal(""approved""), v.literal(""filed""), v.literal(""archived""), )), isDeleted: v.optional(v.boolean()), deletedAt: v.optional(v.string()), deletedBy: v.optional(v.id(""users"")), isLockedForEdit: v.optional(v.boolean()), lockedBy: v.optional(v.id(""users"")), lockedAt: v.optional(v.string()), physicalLocation: v.optional(v.string()), // ""Office A, Cabinet 3"" expiresAt: v.optional(v.string()), retentionPolicy: v.optional(v.string()), dateBs: v.optional(v.string()), // Bikram Sambat date isOnLegalHold: v.optional(v.boolean()), legalHoldReason: v.optional(v.string()), legalHoldSetAt: v.optional(v.string()), legalHoldSetBy: v.optional(v.id(""users"")), retentionUntil: v.optional(v.string()), uploadStatus: v.optional(v.union( v.literal(""quarantined""), v.literal(""scanning""), v.literal(""clean""), v.literal(""rejected""), )), scanProvider: v.optional(v.string()), scanCompletedAt: v.optional(v.string()), scanDetails: v.optional(v.string()), confidentialityLevel: v.optional(v.union( v.literal(""public""), v.literal(""internal""), v.literal(""confidential""), v.literal(""privileged""), )), // --- Signature Fields --- requiresSignature: v.optional(v.boolean()), signatureStatus: v.optional(v.union(v.literal(""pending""), v.literal(""signed""))), signedAt: v.optional(v.string()), intendedSignerUserId: v.optional(v.id(""users"")), signedByUserId: v.optional(v.id(""users"")), signatureMethod: v.optional( v.union(v.literal(""draw""), v.literal(""type""), v.literal(""upload"")), ), signatureArtifactStorageId: v.optional(v.string()), typedSignatureText: v.optional(v.string()), signConsentVersion: v.optional(v.string()), signConsentAt: v.optional(v.string()), viewedAt: v.optional(v.string()), signerUserAgent: v.optional(v.string()), }","""by_case"", [""caseId""] | ""by_type"", [""type""] | ""by_parent"", [""parentDocumentId""] | ""by_uploader"", [""uploadedBy""] | ""by_template"", [""isTemplate""] | ""by_intended_signer"", [""intendedSignerUserId""] | ""by_signature_status"", [""signatureStatus""] | ""by_deleted"", [""isDeleted""] | ""by_firm"", [""firmId""] | ""by_firm_deleted"", [""firmId"", ""isDeleted""]","""search_text"", { searchField: ""searchableText"", filterFields: [""firmId"", ""caseId"", ""type"", ""isDeleted"", ""isPrivileged"", ""confidentialityLevel""] }",yes,documents,new UUID primary key; preserve Convex ID in unique legacy_convex_id during migration,migrate,implemented,Data owner role,Target firm_id is NOT NULL; normalized children: document_tag_assignments
